Game,CPU,GPU,RAM,File Size
Pacific Drive,Intel Core i5-8600,NVIDIA GeForce GTX 1060,16 GB,18 GB
Farming Simulator 19,Intel Core i3-2100T,AMD Radeon HD 7770,4 GB,20 GB
One-armed robber,Intel Core i5-4590,NVIDIA GeForce GTX 760,4 GB,1 GB
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,Intel Core i5-4440,NVIDIA GeForce GTX 1050,8 GB,16 GB
Sleeping Dogs: Definitive Edition,Intel Core 2 Duo E4600,NVIDIA GeForce 8800 GT,4 GB,20 GB
FINAL FANTASY XIII,Intel Core 2 Duo Q6867,ATI FireMV 2400 PCIe,1 GB,60 GB
Contraband Police,Intel Core i5-6600,Unknown,12 GB,12 GB
Jurassic World Evolution,Intel Core i5-2300,NVIDIA GeForce GTX 1050,8 GB,8 GB
Ancestors: The Humankind Odyssey,Intel Core i5-2500K,NVIDIA GeForce GTX 760,8 GB,Unknown
Ryse: Son of Rome,Intel Core i5 750S,AMD Radeon HD 5450,4 GB,26 GB
Lost Records: Bloom & Rage,Intel Core i7-2700K,Unknown,8 GB,48 GB
The Evil Within 2,Intel Core i5-2400,NVIDIA GeForce GTX 660,8 GB,40 GB
F1® 2019,Intel Core i3-2130,NVIDIA GeForce GTX 750,8 GB,80 GB
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,Intel Core i5-2400,Unknown,6 GB,25 GB
Prototype 2,Intel Core 2 Duo Q6867,ATI Radeon HD 4850,2 GB,10 GB
Minecraft Legends,Intel Core i5-650,Intel HD 520,8 GB,24 GB
Dragon Age: Origins,Intel Pentium 4 1.60GHz,AMD Radeon X1550,1 GB,20 GB
DragonNest,Intel Core i3-530,Unknown,8 GB,15 GB
Stream Games,Intel Core 2 Duo Q6867,Unknown,512 MB,30 MB
Football Life Simulator,Intel Core i5-7500,Unknown,8 GB,5 GB
The Crew,Intel Core 2 Quad Q9300,ATI Radeon HD 5870,4 GB,30 GB
Metalstorm,Intel Pentium G4560,Intel HD 4000,6 GB,3 GB
Chivalry 2,Intel Core i3-4370,NVIDIA GeForce GTX 660,8 GB,35 GB
Wild Life,AMD Ryzen 5 2600,NVIDIA GeForce GTX 1060,8 GB,25 GB
Minecraft Dungeons,Intel Core i5-2500K,NVIDIA GeForce GTX 660,8 GB,3 GB
Star Trek Fleet Command,Intel Core i3-3217U,NVIDIA GeForce GTX 485M,2 GB,1 GB
Clash of Clans,Intel Core i7-2600,Intel UHD 630,8 GB,10 GB
Xenia,Intel Pentium 4 2.00GHz,Unknown,256 MB,310 MB
Crimson Desert,Intel Core i7-6700K,AMD Radeon RX 590,8 GB,45 GB
Europa Universalis IV,Intel Pentium 4 2.40GHz,ATI Radeon X1900,2 GB,2 GB
Albion Online,Intel Pentium 4 2.00GHz,NVIDIA GeForce 7100 / nForce 630i,4 GB,2 GB
Deadside,Intel Core 2 Duo E8400,NVIDIA GeForce GT 1030,4 GB,25 GB
Dave the Diver,Intel Core i3-2120,NVIDIA GeForce GTS 450  / Radeon HD 5570,8 GB,10 GB
Totally Accurate Battle Simulator,Intel Core i5-2400,NVIDIA GeForce GTX 670,8 GB,3 GB
Total War: ROME REMASTERED,Intel Core i3-2340UE,Unknown,6 GB,45 GB
