Game,CPU,GPU,RAM,File Size
VR HOT,Intel Core i7-610,NVIDIA GeForce RTX 3070,32 GB,25 GB
Tom Clancy’s Splinter Cell Blacklist,Intel Core 2 Quad Q8400,NVIDIA GeForce 510,4 GB,25 GB
I Am Fish,Intel Core i7-6700,NVIDIA GeForce RTX 2060,12 GB,12 GB
Aerofly FS 4 Flight Simulator,Intel Core 2 Duo E8400,AMD Radeon RX Vega 10,16 GB,Unknown
Tom Clancy's Ghost Recon: Future Soldier,Intel Core 2 Quad Q9450,Unknown,3 GB,25 GB
F1 2017,Intel Core i5-4690,AMD Radeon RX 480,8 GB,40 GB
Darksiders,Intel Core 2 Duo E6420,ATI Radeon HD 3870,2 GB,12 GB
Cinemaster Cinema Simulator,Unknown,Unknown,Unknown,Unknown
Underground Garage,Unknown,Unknown,Unknown,Unknown
Crysis 2,Intel Core 2 Duo E8400,NVIDIA GeForce GTX 280,3 GB,9 GB
Jujutsu Kaisen Cursed Clash,Intel Core i5-2300,Unknown,8 GB,10 GB
Enotria: The Last Song,Intel Core i7-8700,Unknown,16 GB,50 GB
Ambulance Life: A Paramedic Simulator,Intel Core i7-12700K,Unknown,16 GB,60 GB
Prince of Persia: The Forgotten Sands,Unknown,Unknown,Unknown,Unknown
F1 2016,Intel Core i5-4690,AMD Radeon R9 Fury,8 GB,30 GB
Sex Formula,Intel Core 2 Duo E8400,NVIDIA GeForce RTX 2060,12 GB,30 GB
MADiSON,Intel Core i5-4400E,AMD Radeon RX 480,8 GB,10 GB
Midnight Fight Express,Intel Core i5-4670K,NVIDIA GeForce GTX 660,8 GB,7 GB
THE HOUSE OF THE DEAD: Remake,Intel Core i7-7700,Unknown,16 GB,7 GB
Horizon,Intel Core i5-4400E,NVIDIA GeForce 9800 GTX+,4 GB,5 GB
Ironsight,Intel Core i5-650,NVIDIA GeForce GTX 650,8 GB,10 GB
Hearthstone,Intel Core 2 Duo E6600,NVIDIA GeForce GT 240,4 GB,3 GB
The Parasites,Intel Core i7-4770,Unknown,16 GB,17 GB
Sword & Shield Simulator,Intel Core i5-10400F,NVIDIA GeForce RTX 2060,6 GB,10 GB
Windows 10,Unknown,Unknown,Unknown,Unknown
SteamVR Performance Test,Unknown,Unknown,Unknown,Unknown
UNDISPUTED,Unknown,Unknown,Unknown,Unknown
Elite Dangerous: Odyssey,Intel Core i5-8600,NVIDIA GeForce GTX 1060,12 GB,75 GB
Kingdom Hearts 3,Intel Core i5-7500,NVIDIA GeForce GTX 1070,8 GB,75 GB
Car Repair,Intel Core i5-12400T,Unknown,16 GB,30 GB
Operation Lovecraft: Fallen Doll,Intel Core i7-8700K,Unknown,16 GB,20 GB
Splitgate 2,Intel Core i7-4770,Unknown,12 GB,Unknown
Violet,Intel Core i5-11400,NVIDIA GeForce RTX 2060,4 GB,50 GB
Split Fiction - Friend's Pass,Intel Core i7-11700K,AMD Radeon RX 6700 XT,16 GB,85 GB
Switch,Unknown,Unknown,Unknown,Unknown
Genius Calculator,Unknown,Unknown,Unknown,Unknown
3DXChat,Intel Core i5-12400T,AMD Radeon R5 M230,8 GB,10 GB
Threads of Time,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
Prince of Persia: The Lost Crown,Intel Core i7-6700  / Ryzen 5 1600,NVIDIA GeForce GTX 960  / Radeon RX 5500 XT,8 GB,30 GB
Blue Prince,Intel Core i5-4690K,NVIDIA GeForce GTX 1080,16 GB,6 GB
GOALS,Intel Core i5-12400T,Unknown,4 GB,Unknown
Yu-Gi-Oh! Master Duel,Intel Core i5-9400F,NVIDIA GeForce GTX 1650,8 GB,16 GB
Russian Fishing 4,Intel Core i5-650,NVIDIA GeForce GTX 770,8 GB,20 GB
Brotato,Unknown,Unknown,Unknown,Unknown
STALCRAFT,Intel Core i5-6400,Unknown,8 GB,50 GB
Timberborn,Intel Core i5-1300F,AMD Radeon RX 5700,16 GB,5 GB
SMITE,AMD Phenom II X3 720,NVIDIA GeForce GTX 950,6 GB,30 GB
Red Dead Online,Intel Core i7-4770K,AMD Radeon RX 480,4 GB,150 GB
Grim Dawn,Intel Core i3-4130,NVIDIA GeForce 510,6 GB,5 GB
Mystery Mask: The Immortal Soul,Intel Core i7-9700  / Ryzen 7 3700X,NVIDIA GeForce RTX 3060  / Radeon RX 6700 XT,24 GB,25 GB
Rivals 2,Intel Core i5-1300F,NVIDIA GeForce GTX 1060,8 GB,20 GB
Phantasy Star Online 2,Intel Core i9-10900,NVIDIA GeForce RTX 2070,16 GB,103 GB
KINGDOM HEARTS HD 1.5 + 2.5 ReMIX,Intel Core i3-3210,NVIDIA GeForce GTX 750,8 GB,60 GB
Godot Engine,Intel Core 2 Duo E8400,NVIDIA GeForce 8200M G,4 GB,Unknown
Inscryption,Intel Core i5-3470,AMD Radeon RX 460,8 GB,3 GB
Nioh 2 – The Complete Edition,Intel Core i7-6700K,NVIDIA GeForce GTX 1660,16 GB,85 GB
Sins of a Solar Empire II,Intel Core i7-610,Unknown,16 GB,20 GB
Tower of Fantasy,Intel Core i7-610,NVIDIA GeForce GTX 1060,16 GB,30 GB
Scrap Mechanic,Intel Core i5-6600K,NVIDIA GeForce GTX 970,16 GB,15 GB
Nightingale,Intel Core i7-3770,NVIDIA GeForce GTX 1070,16 GB,100 GB
Solasta Crown of the Magister,Intel Core i5-7400,AMD Radeon RX 590,8 GB,30 GB
Granblue Fantasy Versus: Rising,Unknown,Unknown,Unknown,Unknown
Sunkenland,Intel Core i5-1300F,NVIDIA GeForce GTX 560,16 GB,Unknown
Pax Dei,Intel Core i5-12400T,AMD Radeon RX 6600,16 GB,80 GB
Derail Valley,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
CHRONO TRIGGER,Unknown,Unknown,Unknown,Unknown
MultiVersus,Intel Core i5-3470,AMD Radeon R9 270,8 GB,Unknown
Drug Dealer Simulator 2,Intel Core i5-10600K,Unknown,16 GB,30 GB
Roboquest,Intel Core i5-6500,NVIDIA GeForce GTX 1060,16 GB,6 GB
Nuclear Option,Intel Core i5-7600K,NVIDIA GeForce GTX 970,16 GB,4 GB
South Park: The Fractured But Whole,Intel Core i5-4690K,AMD Radeon R9 280X,4 GB,20 GB
Big Ambitions,Intel Core i7-610,NVIDIA GeForce RTX 2060,12 GB,12 GB
The Escapists 2,Intel Core i5-2500K,Unknown,4 GB,4 GB
Liftoff: FPV Drone Racing,Intel Core i5-1300F,Unknown,16 GB,25 GB
Getting Over It with Bennett Foddy,Intel Core 2 Duo Q6867,NVIDIA GeForce GTX 970,4 GB,2 GB
Windblown,Intel Core i7-610,Unknown,16 GB,Unknown
Remnant: From the Ashes,Intel Core i5-4590,NVIDIA GeForce GTX 970,8 GB,Unknown
Gang Beasts,Intel Core i5-12400T,ATI FireGL V7350,8 GB,2 GB
ContractVille,Intel Core i7-7700K,Unknown,16 GB,20 GB
S.T.A.L.K.E.R.: Shadow of Chernobyl,Intel Core 2 Duo E6400,ATI Radeon HD 2900 GT,2 GB,10 GB
City Car Driving,Intel Core i3-550,NVIDIA GeForce GTX 750,8 GB,10 GB
Street Fighter V,Intel Core i5-4690K,Unknown,8 GB,Unknown
Songs of Conquest,Intel Core 2 Duo E8400,NVIDIA GeForce GTX 970,4 GB,Unknown
Borderlands,Intel Core i3-2120,NVIDIA GeForce GTX 650,4 GB,8 GB
Stronghold Crusader 2,Intel Core i5-12400T,Unknown,8 GB,4 GB
OUTBRK,Intel Core i7-8700K,NVIDIA GeForce RTX 4060,4 GB,60 GB
Command & Conquer™ Generals,Intel Core i5-1300F,NVIDIA GeForce 8500 GT,1 GB,2 GB
Treasure of Nadia,Intel Core 2 Duo Q6867,Unknown,3 GB,9 GB
ONE PIECE: PIRATE WARRIORS 4,Intel Core i7-3770,Unknown,8 GB,25 GB
War on the Sea,Intel Core i5-12400T,NVIDIA GeForce 510,4 GB,6 GB
JoJo's Bizarre Adventure: All-Star Battle R,Intel Core i5-5675C,Unknown,16 GB,6 GB
Cruelty Squad,Unknown,Unknown,Unknown,Unknown
Monster Hunter Stories,Intel Core i5-4460,Unknown,8 GB,20 GB
Infinite Lagrange,Intel Core i5-12400T,NVIDIA GeForce 205,4 GB,2 GB
The Ranch of Rivershine,Unknown,Unknown,Unknown,Unknown
NIGHT-RUNNERS™ PROLOGUE,Intel Core i5-8400,Unknown,16 GB,8 GB
Reka,Intel Core i5-8400,Unknown,16 GB,5 GB
Only Climb: Better Together,Intel Core i5-10400,NVIDIA GeForce RTX 2060,16 GB,15 GB
Arcadegeddon,Intel Core i7-5820K,NVIDIA GeForce GTX 970,16 GB,10 GB
Tropico 5,Intel Core 2 Quad Q9705,AMD Radeon 7000 / Radeon VE Family,8 GB,4 GB
City Bus Manager,AMD Athlon X4 950,Unknown,16 GB,15 GB
Saints Row 2,Intel Core 2 Duo E8400,ATI Radeon HD 3850,2 GB,15 GB
Banishers: Ghosts of New Eden,Intel Core i5-10600K,Unknown,16 GB,52 GB
SOMA,Intel Core 2 Duo E8400,Unknown,8 GB,25 GB
STAR WARS - The Force Unleashed Ultimate Sith Edition,Intel Core 2 Duo Q6867,NVIDIA GeForce 9800 GT,4 GB,Unknown
"Little Kitty, Big City",Intel Core i5-650,NVIDIA GeForce GTX 650,4 GB,Unknown
Life is Strange Remastered,Intel Core i5-2400,AMD Radeon RX 580,4 GB,42 GB
BIOMUTANT,Intel Core i7-6700K,AMD Radeon RX 590,16 GB,25 GB
Hatred,Intel Core i5-3570,Unknown,8 GB,5 GB
Road 96 ?️,Intel Core i5-8600K,NVIDIA GeForce RTX 2060,16 GB,15 GB
Unravel Two,Intel Core i5-2300,AMD Radeon R9 270,6 GB,8 GB
We Happy Few,Intel Core 2 Quad Q9705,NVIDIA GeForce GTX 660,8 GB,6 GB
Indigo Park,Unknown,Unknown,Unknown,Unknown
Citizen Sleeper 2: Starward Vector,Unknown,Unknown,Unknown,Unknown
Century: Age of Ashes,Intel Core i7-860,Unknown,8 GB,10 GB
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,Unknown,Unknown,Unknown,Unknown
Zero Hour,Intel Core i7-4770K,Unknown,16 GB,25 GB
Peripeteia,Intel Core i5-12400T,NVIDIA GeForce GTX 970,8 GB,Unknown
RAGE,Intel Core 2 Quad Q9000,AMD GeForce 9800 GTX,4 GB,25 GB
Steelrising,Intel Core i7-8700,Unknown,16 GB,67 GB
Corner Kitchen Fast Food Simulator,Unknown,Unknown,Unknown,Unknown
Prison Simulator,Intel Core i5-12400T,Unknown,12 GB,6 GB
NBA 2K18,AMD FX-8370,NVIDIA GeForce GTX 770,8 GB,70 GB
WRC 10 FIA World Rally Championship,Intel Core i7-4790K,Unknown,6 GB,Unknown
The Bus,Intel Core i7-9700K,NVIDIA GeForce RTX 3060,16 GB,60 GB
Battlefield Hardline,Intel Core 2 Quad Q9000,NVIDIA GeForce GTX 760,8 GB,60 GB
DYNASTY WARRIORS 9 Empires,Intel Core i7-3770,Unknown,8 GB,50 GB
ONE PIECE World Seeker,Intel Core i7-3770,AMD Radeon RX 580,8 GB,25 GB
Burnout Paradise: The Ultimate Box,Unknown,Unknown,Unknown,Unknown
FAR: Changing Tides,Intel Core i3-8350K,AMD Radeon RX 5500,8 GB,4 GB
MEMORIAPOLIS,AMD Ryzen 5 7600,Unknown,8 GB,6 GB
TIEBREAK: Official game of the ATP and WTA,Intel Core i5-6600K,Unknown,16 GB,50 GB
Rugby 25,Intel Core i5-6600K,Unknown,16 GB,30 GB
Dragon's Dogma 2 Character Creator & Storage,Intel Core i7-10700  / Ryzen 5 3600X,NVIDIA GeForce RTX 2080  / Radeon RX 6700,16 GB,7 GB
Lost Lullabies: The Orphanage Chronicles,Intel Core i5-7600K,Unknown,16 GB,10 GB
The Complex: Found Footage,Intel Core i7-3770,NVIDIA GeForce GTX 1060,4 GB,Unknown
State of Decay,Intel Core i5-4400E,Intel HD 4000,2 GB,3 GB
The Inn-Sanity,Intel Core i7-8700K,Unknown,10 GB,27 GB
Device Doctor Simulator 2024,Intel Core i5-6600K,NVIDIA GeForce GTX 1070,16 GB,5 GB
Heavy Cargo - The Truck Simulator,Intel Core i7-11700K,AMD Radeon RX 6700,16 GB,40 GB
Miami Paradise,Intel Core i5-1300F,NVIDIA GeForce GTX 1080,16 MB,6 GB
Ashen,Intel Core i5-1300F,Unknown,8 GB,15 GB
Undefeated,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
MosGhost,Intel Core i5-9400,Unknown,12 GB,4 GB
Arma 2,Intel Core 2 Duo E8400,NVIDIA GeForce 8800 GT,2 GB,10 GB
Exoborne,Intel Core i5-12600K,NVIDIA GeForce RTX 3070,16 GB,75 GB
Haunted by Femboy,Unknown,Unknown,Unknown,Unknown
The Voice in the Void,Unknown,Unknown,Unknown,Unknown
Ertugrul,Intel Core i7-12700,Unknown,32 GB,20 GB
NERO,Intel Core i7-3770,Unknown,8 GB,12 GB
XDefiant,AMD Ryzen 5 1600  / Core i7-4790K,AMD Radeon RX 580  / GeForce GTX 1060,16 GB,35 GB
Tony Hawk's™ Pro Skater™ 3 + 4,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
TFT requirements,Intel Pentium 4 3.00GHz,AMD Radeon HD 5670,8 GB,12 GB
One More Night,Intel Core 2 Duo Q6867,NVIDIA GeForce GTX 960,2 GB,1 GB
Stronghold Crusader: Definitive Edition,Unknown,Unknown,Unknown,Unknown
Maximum,Unknown,Unknown,Unknown,Unknown
SWORN,Unknown,Unknown,Unknown,Unknown
"One Iced Latte With Your Breast Milk, Please! ☕",Unknown,Unknown,Unknown,Unknown
Metin2,Intel Core i5-4400E,ATI FireGL V7350,2 GB,6 GB
Train Simulator,Intel Core i5-12400T,NVIDIA GeForce GTX 1070,16 GB,7 GB
Pine Harbor,Intel Core i5-10400,Unknown,16 GB,15 GB
FootballLife,Intel Core i5-5350U,NVIDIA GeForce GT 630,16 GB,1 GB
Life After End,Intel Core i7-6700,NVIDIA GeForce GTX 1080,12 GB,65 GB
Rune Factory: Guardians of Azuma,Intel Core i7-9700,NVIDIA GeForce RTX 2060,16 GB,20 GB
Rogue Company,Intel Core i7-3770,NVIDIA GeForce GTX 960,16 GB,20 GB
Race Master,Intel Core i5-12400T,Intel Arc A380,4 GB,4 GB
Overwatch,AMD Phenom II X3 720,NVIDIA GeForce GTX 660,6 GB,30 GB
Anthem,AMD Ryzen 3 1300X,NVIDIA GeForce RTX 2060,16 GB,50 GB
Magic: The Gathering Arena,Intel Core 2 Quad Q9300,NVIDIA GeForce GTX 560,4 GB,10 GB
Don't Starve Together,Unknown,Unknown,Unknown,Unknown
Slay the Spire,Unknown,Unknown,Unknown,Unknown
Oxygen Not Included,Unknown,Unknown,Unknown,Unknown
MX Bikes,Unknown,Unknown,Unknown,Unknown
